data;codigo;tipo;autor;quem_achou;regua;commit_introduziu;commit_corrigiu;descricao
2026-09-24;B-14;achado;desconhecido;outra-ia;desconhecido;desconhecido;desconhecido;teste chamado "continua bloqueando" nao testava o bloqueio
2026-09-24;B-15;achado;desconhecido;outra-ia;desconhecido;desconhecido;desconhecido;guarda do E-03 procurava a palavra no fonte
2026-09-24;B-16;achado;desconhecido;outra-ia;desconhecido;desconhecido;82c90f6;motor.simular divergia ate 17,4% de simular_custo
2026-09-24;B-17;achado;desconhecido;outra-ia;desconhecido;desconhecido;a7aeb60;custodia_rv_interpretacao so lida no codigo morto
2026-09-24;B-18;achado;desconhecido;outra-ia;desconhecido;desconhecido;82c90f6;teste de subprocesso reprovava por aviso do cache do pytest
2026-09-25;P-142;achado;desconhecido;claude-code;desconhecido;desconhecido;fee7607;9 testes do C-02 pulavam em toda rodada: raiz na pasta errada desde a P-114
2026-09-25;CV-05;achado;fonte;claude-code;nao_se_aplica;nao_se_aplica;61f1ec5;o FCA nao traz codigo de negociacao antes de 2018
2026-09-25;CV-06;achado;fonte;claude-code;nao_se_aplica;nao_se_aplica;61f1ec5;EMISSOR.TXT descreve o dono atual do codigo -- 4 codigos reaproveitados
2026-09-25;P-97;reincidencia;claude-code;claude-code;desconhecido;nao_commitado;61f1ec5;isinp.zip gravado no acervo sem origem declarada -- a guarda pegou antes do commit
2026-09-25;CV-07;achado;claude-code;claude-code;desconhecido;02b41cc;aberto;captura local sem --armazem: o registro anota o FCA e o byte nunca sobe ao R2
2026-09-25;CI-01;achado;desconhecido;claude-code;15;desconhecido;aberto;dois testes liam o estado.yaml privado -- vermelhos em todo clone; achado pela primeira execucao do workflow
2026-09-25;CI-02;achado;desconhecido;claude-code;15;desconhecido;aberto;_tirar_somente_leitura so liberava o arquivo -- no POSIX falta a escrita da pasta-mae; so funcionava no Windows
2026-09-25;CLAUDE-11.5;retratacao;claude-chat;desconhecido;17;desconhecido;mesmo-commit;"instrumento que eu nao tenho" -- tools/analisar_sessoes.py le as transcricoes -- e "269 testes, ~8 s" era 607 s
2026-09-25;P-145;achado;desconhecido;claude-code;desconhecido;2c608c9;mesmo-commit;"3 meses anteriores" e "percentil >= 50" da secao 2 da v2 admitiam duas leituras -- decididas por ele: t-2..t e >= mediana (emenda 1, secao 6)
2026-09-25;CI-03;achado;desconhecido;claude-code;4;desconhecido;aberto;mutacao sai verde com 4935 mutantes not checked -- a rodada limpa falha em 20 testes na copia mutants/ e o set +e engole
2026-09-25;CI-04;achado;desconhecido;claude-code;15;desconhecido;aberto;primeira execucao do job completo: P-97 nao le a origem dos COTAHIST diarios e o pin de 2026 nao e materializado
2026-09-25;GIT-01;achado;claude-code;claude-code;15;53112d6;mesmo-commit;sessao local olhou so o main e publicou uma segunda redacao da secao 6 da emenda 1 -- a primeira estava numa branch do origin (2f939ae)
2026-09-25;CI-04;achado;desconhecido;claude-code;15;desconhecido;mesmo-commit;job completo reprovava 2 testes que so o armazem expoe: os COTAHIST diarios sem origem (o leitor ignorava o capturas.csv) e o pin de 2026 fora da materializacao (Testes #6 e #9)
2026-09-25;CI-03;achado;claude-code;claude-code;desconhecido;34bac27;aberto;Mutacao verde com os 4.935 mutantes not checked -- a rodada limpa falha e o set +e engolia; o portao (contagem + zero testado = vermelho) entrou, a causa espera decisao (P-146)
2026-09-25;5-A-credencial;reincidencia;claude-code;claude-chat;desconhecido;nao_commitado;mesmo-commit;a sessao tentou disparar workflow pelo navegador embutido e pelo Chrome dele com a sessao aberta -- sessao logada e credencial; virou deny em .claude/settings.json
2026-09-25;LIC-01;achado;desconhecido;claude-code;desconhecido;8b98028;mesmo-commit;o CSV do NEFIN estava no git (publico desde 11/09) sem os termos lidos -- eles pedem citacao e nao autorizam redistribuir; saiu do git para o armazem com captura
2026-09-25;CI-05;achado;desconhecido;claude-code;desconhecido;34bac27;mesmo-commit;o testes.yml nao rodava em pull_request -- PR de contribuidor ou do Dependabot chegaria ao main sem suite nenhuma
2026-09-25;GIT-02;achado;claude-code;claude-code;desconhecido;b3ba3fd;mesmo-commit;o dependabot.yml abriu 4 branches e a guarda do GIT-01 reprovava todo clone com git fetch -- dependabot/ saiu da guarda pelo prefixo, com teste que prende o corte
2026-09-25;B-19;achado;claude-code;claude-code;desconhecido;desconhecido;mesmo-commit;aporte zero dava entrada infinita e o min() devolvia NaN calado; a interacao G3xG4 acertava por acidente
2026-09-26;P-68;reincidencia;desconhecido;claude-code;desconhecido;desconhecido;desconhecido;quatro pendencias fechadas em outro arquivo (P-68 no CLAUDE.md e P-73 no ACHADOS.md em 12/09; P-76 e P-78 no ACHADOS.md em 13/09) ficaram com o cabecalho aberto 13 a 14 dias -- a fila desatualizada da 5-A
2026-09-26;P-150;achado;desconhecido;claude-code;desconhecido;desconhecido;desconhecido;os eventos societarios da B3 foram capturados uma vez (11/09) e nao tem rotina nem copia no armazem -- o insumo mais perecivel (V-01) depende de alguem lembrar
2026-09-26;P-151;achado;claude-code;claude-code;desconhecido;desconhecido;desconhecido;a guarda do GIT-01 roda no CI com fetch-depth 0 e reprova o job completo sempre que ha branch de sessao aberta -- o semanal de 25/09 saiu vermelho so por isso
2026-09-26;P-84;reincidencia;desconhecido;claude-code;desconhecido;desconhecido;desconhecido;a decisao 84a ja estava implementada desde 16/09 (corretoras.py, test_P84) e a pendencia seguiu aberta dez dias, levada ate a fila de decisoes -- a fila desatualizada da 5-A
2026-09-26;P-12;achado;desconhecido;claude-code;desconhecido;desconhecido;mesmo-commit;duracao_anos e duracao de juro (0 na LCI pos-fixada), nao prazo ate o vencimento: implementar 12a por ela deixaria a LCI de 9999 dias casar com qualquer objetivo -- nasceu vencimento_anos, vazio
2026-09-26;CI-03;achado;desconhecido;claude-code;desconhecido;desconhecido;desconhecido;depois da 146b a rodada limpa do mutmut passa, e ele para em outra causa: os testes importam o modulo por sys.path (ajustar) e o mutmut espera o caminho do pacote (fase0.ajustar) -- nenhum mutante casa
2026-09-26;G-07;achado;desconhecido;claude-code;desconhecido;desconhecido;0c6085f;o G8 libera 15% a um carrego em REGRA_DECIDIDA -- o validador avisa que nao libera, e o motor nao le o estado; mudo porque nenhum carrego estava assinado
2026-09-26;P-01;achado;desconhecido;claude-code;desconhecido;desconhecido;mesmo-commit;python tese.py, o comando que o teses.yaml manda rodar para calcular a impressao, caia com KeyError desde a L-01 (compromissos foi para o perfil.yaml)
2026-09-26;5-B.2;retratacao;claude-chat;claude-code;2;desconhecido;bb0afe2;afirmei que a opcao A dispensava excecao no instrumento; MC/RI casam com a REF [A-Z]{1,2}-\d{1,3}
2026-09-26;P-159;retratacao;claude-chat;claude-code;5;desconhecido;mesmo-commit;"nao distribuir, nao receber comissao e nao aceitar anuncio" apresentado como criterio da CVM 19; a norma permite distribuir com segregacao (art. 18, I e par. 2) e nao fala de anuncio
